iter	Passed	Remaining
480	753	813
481	754	810
482	754	807
483	755	805
484	755	802
485	756	799
486	805	848
487	805	845
488	808	844
489	809	842
490	809	839
491	809	836
492	810	833
493	810	830
494	811	827
495	811	824
496	812	821
497	812	819
498	813	816
499	813	813
500	814	810
501	814	808
502	816	807
503	817	804
504	818	802
505	819	800
506	820	797
507	820	795
508	821	792
509	821	789
510	822	786
511	823	784
512	823	781
513	825	780
514	827	778
515	827	776
516	828	773
517	828	770
518	829	768
519	829	765
520	829	763
521	830	760
522	831	758
523	831	755
524	832	753
525	833	751
526	834	748
527	835	747
528	836	745
529	837	742
530	838	740
531	839	738
532	839	735
533	839	732
534	840	730
535	840	727
536	841	725
537	841	722
538	841	720
539	842	717
540	842	715
541	843	712
542	843	710
543	844	707
544	844	705
545	845	702
546	845	700
547	846	698
548	847	695
549	847	693
550	848	691
551	849	689
552	849	686
553	850	684
554	850	681
555	850	679
556	851	677
557	851	674
558	851	672
559	852	669
560	852	667
561	853	664
562	902	700
563	902	697
564	903	695
565	903	692
566	904	690
567	904	688
568	905	685
569	905	683
570	906	680
571	907	678
572	907	676
573	907	673
574	908	671
575	915	673
576	915	671
577	916	669
578	916	666
579	917	664
580	918	662
581	919	660
582	920	658
583	921	656
584	922	654
585	923	652
586	924	650
587	925	648
588	926	646
589	927	644
590	928	642
591	929	640
592	931	639
593	931	636
594	932	634
595	932	632
596	933	630
597	934	628
598	935	626
599	935	623
600	936	621
601	936	619
602	937	616
603	937	614
604	938	612
605	939	610
606	939	608
607	940	606
608	940	604
609	941	601
610	941	599
611	942	597
612	943	595
613	943	593
614	943	590
615	944	588
616	944	586
617	945	584
618	997	614
619	998	612
620	999	609
621	999	607
622	1000	605
623	1001	603
624	1001	600
625	1002	598
626	1003	596
627	1003	594
628	1004	592
629	1005	590
630	1005	588
631	1006	586
632	1007	584
633	1008	582
634	1009	580
635	1009	577
636	1010	576
637	1011	573
638	1012	571
639	1012	569
640	1013	567
641	1014	565
642	1015	563
643	1015	561
644	1016	559
645	1016	557
646	1017	555
647	1017	552
648	1018	550
649	1018	548
650	1019	546
651	1019	544
652	1020	542
653	1021	540
654	1021	538
655	1022	536
656	1022	534
657	1023	531
658	1023	529
659	1024	527
660	1024	525
661	1025	523
662	1026	521
663	1027	519
664	1027	517
665	1028	515
666	1028	513
667	1029	511
668	1029	509
669	1030	507
670	1030	505
671	1031	503
672	1032	501
673	1033	499
674	1033	497
675	1033	495
676	1034	493
677	1034	491
678	1034	489
679	1035	487
680	1035	485
681	1036	483
682	1092	507
683	1093	505
684	1093	503
685	1094	500
686	1094	498
687	1095	496
688	1097	495
689	1098	493
690	1099	491
691	1100	489
692	1100	487
693	1100	485
694	1102	483
695	1103	481
696	1105	480
697	1106	478
698	1106	476
699	1107	474
700	1108	472
701	1109	470
702	1109	468
703	1110	466
704	1110	464
705	1111	463
706	1113	461
707	1116	460
708	1117	458
709	1117	456
710	1118	454
711	1118	452
712	1119	450
713	1119	448
714	1119	446
715	1120	444
716	1120	442
717	1121	440
718	1121	438
719	1122	436
720	1122	434
721	1123	432
722	1123	430
723	1124	428
724	1124	426
725	1125	424
726	1125	422
727	1125	420
728	1126	418
729	1126	416
730	1127	414
731	1127	412
732	1127	410
733	1128	408
734	1128	406
735	1128	404
736	1129	403
737	1129	401
738	1182	417
739	1183	415
740	1183	413
741	1184	411
742	1184	409
743	1185	407
744	1185	405
745	1186	403
746	1187	402
747	1187	400
748	1188	398
749	1188	396
750	1189	394
751	1189	392
752	1190	390
753	1191	388
754	1192	386
755	1192	385
756	1193	383
757	1194	381
758	1194	379
759	1195	377
760	1196	375
761	1197	374
762	1198	372
763	1199	370
764	1199	368
765	1200	366
766	1201	364
767	1202	363
768	1202	361
769	1203	359
770	1203	357
771	1204	355
772	1205	353
773	1205	352
774	1206	350
775	1206	348
776	1207	346
777	1208	344
778	1208	342
779	1209	341
780	1210	339
781	1210	337
782	1210	335
783	1211	333
784	1211	331
785	1212	330
786	1213	328
787	1213	326
788	1214	324
789	1215	323
790	1216	321
791	1216	319
792	1217	317
793	1218	316
794	1218	314
795	1219	312
796	1219	310
797	1219	308
798	1278	321
799	1278	319
800	1279	317
801	1279	315
802	1280	314
803	1280	312
804	1281	310
805	1281	308
806	1282	306
807	1283	304
808	1283	303
809	1284	301
810	1284	299
811	1284	297
812	1285	295
813	1286	293
814	1286	292
815	1287	290
816	1287	288
817	1287	286
818	1288	284
819	1288	282
820	1289	281
821	1289	279
822	1290	277
823	1291	275
824	1291	274
825	1292	272
826	1293	270
827	1294	268
828	1294	267
829	1295	265
830	1295	263
831	1296	261
832	1297	260
833	1297	258
834	1298	256
835	1299	254
836	1300	253
837	1301	251
838	1301	249
839	1302	248
840	1303	246
841	1303	244
842	1304	242
843	1305	241
844	1306	239
845	1307	237
846	1307	236
847	1308	234
848	1308	232
849	1309	231
850	1309	229
851	1310	227
852	1310	225
853	1311	224
854	1311	222
855	1312	220
856	1312	219
857	1313	217
858	1313	215
859	1314	213
860	1374	221
861	1375	220
862	1376	218
863	1376	216
864	1377	214
865	1377	213
866	1378	211
867	1378	209
868	1379	207
869	1380	206
870	1380	204
871	1381	202
872	1381	200
873	1382	199
874	1382	197
875	1383	195
876	1383	194
877	1384	192
878	1385	190
879	1386	189
880	1386	187
881	1387	185
882	1387	183
883	1388	182
884	1389	180
885	1390	178
886	1390	177
887	1391	175
888	1392	173
889	1392	172
890	1392	170
891	1394	168
892	1395	167
893	1395	165
894	1396	163
895	1397	162
896	1397	160
897	1398	158
898	1398	157
899	1399	155
900	1399	153
901	1400	152
902	1401	150
903	1401	148
904	1402	147
905	1402	145
906	1403	143
907	1472	149
908	1472	147
909	1473	145
910	1473	143
911	1474	142
912	1474	140
913	1475	138
914	1476	137
915	1476	135
916	1477	133
917	1478	132
918	1479	130
919	1479	128
920	1480	127
921	1481	125
922	1482	123
923	1483	121
924	1483	120
925	1484	118
926	1485	116
927	1485	115
928	1486	113
929	1486	111
930	1487	110
931	1488	108
932	1489	106
933	1489	105
934	1489	103
935	1490	101
936	1490	100
937	1491	98
938	1491	96
939	1492	95
940	1493	93
941	1494	92
942	1495	90
943	1495	88
944	1496	87
945	1496	85
946	1497	83
947	1497	82
948	1498	80
949	1499	78
950	1499	77
951	1500	75
952	1500	74
953	1501	72
954	1501	70
955	1501	69
956	1502	67
957	1502	65
958	1503	64
959	1504	62
960	1568	63
961	1569	61
962	1569	60
963	1570	58
964	1570	56
965	1571	55
966	1571	53
967	1572	51
968	1572	50
969	1573	48
970	1573	46
971	1574	45
972	1574	43
973	1575	42
974	1575	40
975	1576	38
976	1576	37
977	1577	35
978	1577	33
979	1578	32
980	1579	30
981	1580	28
982	1581	27
983	1581	25
984	1582	24
985	1583	22
986	1584	20
987	1584	19
988	1585	17
989	1585	16
990	1586	14
991	1587	12
992	1588	11
993	1588	9
994	1589	7
995	1590	6
996	1590	4
997	1590	3
998	1591	1
999	1591	0
